"district","Year","timePeriod","Production","AreaHarvested"
13,2016,2009,778662851168.024,28906.1897
15,2016,2009,1133747422471.36,51405.13
16,2016,2009,478695856433.246,22962.1034
51,2016,2009,57168367585.7,1784.12
53,2016,2009,92299794266.2,2842.75
55,2016,2009,108574274095.036,4089.9
57,2016,2009,181373266999.836,6407.57
59,2016,2009,50978739744.852,1841.42
64,2016,2009,30035224717.4,999.53
65,2016,2009,7229160971.2,359.53
66,2016,2009,48546540052.7,1853.13
81,2016,2009,190142147376.976,7881.676
82,2016,2009,51566288335.742,2382.7383
83,2016,2009,13578598298.5,619.87
84,2016,2009,51818297721.446,2240.9086
91,2016,2009,98153843629.236,3802.64
92,2016,2009,101916333218.2,3613.69
93,2016,2009,88841795286.9,3833.55
94,2016,2009,63088509193.8,3103.33
95,2016,2009,84153347854.368,3564.35
96,2016,2009,89704585953.788,3965.8
97,2016,2009,25864457904.1,955.31
145,2016,2009,62005838535.2,2790.27
146,2016,2009,100253345841.7,4201.03
147,2016,2009,148734564480.216,6497.7211
1,2017,2009,182324062294.112,7436.06
3,2017,2009,650564322424.328,22210.49
7,2017,2009,268871012242.556,12393.52
10,2017,2009,47632702461.304,2577.3087
12,2017,2009,467174644790.382,26677.4705
13,2017,2009,589439340979.778,28625.8698
15,2017,2009,1213875522900.25,51722.93
16,2017,2009,550071320929.922,22961.584
51,2017,2009,54788976349.5,1812.11
53,2017,2009,86319983039.5,2677.57
55,2017,2009,105557564874.392,4245.53
57,2017,2009,173352157376.456,6370.4584
59,2017,2009,49120247073.496,1844.3
64,2017,2009,28354725082.4,1008.09
65,2017,2009,7392657151.4,361.64
66,2017,2009,46831282893.3,1775.76
81,2017,2009,193694659412.817,7800.8296
82,2017,2009,53231407476.6476,2400.7593
83,2017,2009,17652159342.98,584.39
84,2017,2009,49034569238.91,2193.9669
91,2017,2009,113606854770.64,3909.4
92,2017,2009,110507633718.436,3708.23
93,2017,2009,92025015360.5,3860.59
94,2017,2009,62348871560.6,2908.84
95,2017,2009,87841815752.928,3440.07
96,2017,2009,101946067968.632,3898.81
97,2017,2009,25350354363.5,931.56
145,2017,2009,63962964787.269,2887.8337
146,2017,2009,97791280208.72,4115.9129
147,2017,2009,144063491239.183,5949.692
1,2018,2009,196796389948.188,7518.19
3,2018,2009,651963478782.573,22423.5372
7,2018,2009,280930904231.507,12637.213
10,2018,2009,50209101713.909,2591.09
12,2018,2009,444522568894.081,27967.449
13,2018,2009,654862362821.909,28344.3139
15,2018,2009,1138958502700.18,53538.3526
16,2018,2009,506872428299.77,23153.0947
51,2018,2009,64667239399.125,1898.659
53,2018,2009,96715430291.814,2765.9116
55,2018,2009,113659651854.643,4386.1896
57,2018,2009,178684112364.504,6533.3151
59,2018,2009,50511338876.711,1881.324
64,2018,2009,32919178698.8,1041.1
65,2018,2009,6656574440,374.2
66,2018,2009,45996093339.2,1852.31
81,2018,2009,203098419779.77,7882.8311
82,2018,2009,61339566956.8056,2442.8456
83,2018,2009,18863851083.408,584.14
84,2018,2009,51351483526.046,2213.8612
91,2018,2009,120057471832.088,3926.66
92,2018,2009,113033956166.756,3700.08
93,2018,2009,94741172476.6,3981.31
94,2018,2009,64488468641,3041.4
95,2018,2009,97359691938.2,3545.61
96,2018,2009,110531607421.856,3901.67
97,2018,2009,27502759682.9,904.78
145,2018,2009,61422857443.211,2833.8088
146,2018,2009,92743593090.224,4309.4753
147,2018,2009,149626244731.212,6567.841
